Name,Genes (tot),Stat (dist.dir.up),p (dist.dir.up),p adj (dist.dir.up),Stat (dist.dir.dn),p (dist.dir.dn),p adj (dist.dir.dn),Stat (non-dir.),p (non-dir.),p adj (non-dir.),Genes (up),Stat (mix.dir.up),p (mix.dir.up),p adj (mix.dir.up),Genes (down),Stat (mix.dir.dn),p (mix.dir.dn),p adj (mix.dir.dn)
map00622,8,0.69481,0.19876,1,-0.69481,0.80124,0.93859,0.78427,0.31081,1,4,1.4201,0.16851,1,4,-0.311,0.58245,1
map04918,6,0.56352,0.24208,1,-0.56352,0.75792,0.90711,0.94851,0.24924,1,3,1.2345,0.17838,1,3,0.10685,0.4605,1
map05170,17,-1.4526,0.85113,1,1.4526,0.14887,0.48889,-2.2483,0.98784,1,2,-0.85598,0.88315,1,15,-2.0809,0.94299,1
map04921,14,-1.5382,0.86844,1,1.5382,0.13156,0.48889,-1.2475,0.90843,1,1,0.33786,0.44739,1,13,-1.3883,0.8487,1
map04935,6,-1.3658,0.83851,1,1.3658,0.16149,0.48889,-0.62509,0.77114,1,0,NA,NA,NA,6,-0.62509,0.68728,1
map00460,12,-1.0586,0.74236,1,1.0586,0.25764,0.55637,-0.1946,0.67154,1,3,0.81656,0.31181,1,9,-0.69615,0.68619,1
map04064,3,-1.1616,0.8263,1,1.1616,0.1737,0.48889,-0.38234,0.65873,1,0,NA,NA,NA,3,-0.38234,0.61818,1
map00970,33,-3.3569,0.99321,1,3.3569,0.0067941,0.22011,4.2757,0.00043028,0.029402,10,2.1658,0.070154,1,23,3.6935,0.00071413,0.028208
map03430,39,-3.8362,0.99719,1,3.8362,0.0028128,0.12814,1.7433,0.12414,1,9,0.32911,0.65829,1,30,1.8074,0.056438,0.63012
map00930,7,0.18127,0.37086,1,-0.18127,0.62914,0.80201,-2.0948,0.97476,1,4,-1.6305,0.98521,1,3,-1.3171,0.85652,1
map00253,1,0.2749,0.36426,1,-0.2749,0.63574,0.80201,-0.78371,0.78761,1,1,-0.78371,0.83031,1,0,NA,NA,NA
map04012,5,-1.593,0.88994,1,1.593,0.11006,0.48889,0.097831,0.52737,1,0,NA,NA,NA,5,0.097831,0.47214,1
map04742,1,-0.4913,0.6278,1,0.4913,0.3722,0.59845,-0.31393,0.65015,1,0,NA,NA,NA,1,-0.31393,0.62075,1
map05322,8,-0.20265,0.48124,1,0.20265,0.51876,0.70219,-1.7956,0.96085,1,2,-0.244,0.70414,1,6,-1.9325,0.93966,1
map04657,6,-0.71395,0.66204,1,0.71395,0.33796,0.58818,-1.8485,0.96757,1,1,-1.2681,0.92294,1,5,-1.4579,0.87079,1
map04151,21,-2.0191,0.92733,1,2.0191,0.072672,0.48889,-1.5323,0.95851,1,2,-0.49937,0.79088,1,19,-1.4489,0.86984,1
map04931,7,-1.3021,0.83225,1,1.3021,0.16775,0.48889,-0.15069,0.6193,1,2,-1.1065,0.9277,1,5,0.52151,0.34579,1
map04914,20,-1.7094,0.89496,1,1.7094,0.10504,0.48889,-2.2321,0.98865,1,3,-1.7392,0.98396,1,17,-1.6905,0.89723,1
map04350,7,-0.41339,0.57482,1,0.41339,0.42518,0.63769,-1.345,0.90636,1,1,0.56186,0.36336,1,6,-1.6821,0.9112,1
map04270,7,-1.3795,0.84862,1,1.3795,0.15138,0.48889,-1.0094,0.8493,1,0,NA,NA,NA,7,-1.0094,0.7485,1
map04614,2,-0.59555,0.62916,1,0.59555,0.37084,0.59845,-0.63675,0.7311,1,0,NA,NA,NA,2,-0.63675,0.66548,1
map04068,11,-0.63309,0.61149,1,0.63309,0.38851,0.6174,-0.016756,0.61478,1,3,0.65836,0.37158,1,8,-0.42281,0.60841,1
map04120,45,-1.7586,0.83151,1,1.7586,0.16849,0.48889,-2.6425,0.99687,1,9,-0.61257,0.92319,1,36,-2.6482,0.98242,1
map04745,3,-0.60108,0.67485,1,0.60108,0.32515,0.57711,-1.4236,0.9139,1,0,NA,NA,NA,3,-1.4236,0.8753,1
map04130,18,-0.57625,0.60104,1,0.57625,0.39896,0.61828,-3.8911,0.99994,1,2,-0.34027,0.73869,1,16,-4.0069,0.99909,1
map03440,47,-2.4912,0.94213,1,2.4912,0.057872,0.48889,1.7703,0.13581,1,16,0.68172,0.63073,1,31,1.69,0.059342,0.63351
map00564,63,-2.4251,0.93572,1,2.4251,0.06428,0.48889,1.3218,0.26872,1,17,2.2508,0.082828,1,46,0.1786,0.40382,1
map04750,5,-1.0437,0.77491,1,1.0437,0.22509,0.5197,-1.1562,0.87635,1,0,NA,NA,NA,5,-1.1562,0.81526,1
map05219,3,0.1891,0.4082,1,-0.1891,0.5918,0.77028,0.78674,0.25317,1,1,1.3553,0.13158,1,2,0.0052179,0.46348,1
map00909,3,-0.12494,0.51606,1,0.12494,0.48394,0.67766,-1.117,0.86074,1,2,-1.3461,0.95684,1,1,-0.031142,0.52701,1
map01210,47,-2.69,0.95908,1,2.69,0.04092,0.48889,2.1116,0.079007,0.92495,15,0.96889,0.49312,1,32,1.8957,0.047109,0.5815
map01503,41,5.0011,8.96E-07,0.00018372,-5.0011,1,1,3.636,0.0038873,0.15938,31,4.4058,0.00033135,0.052187,10,-0.39473,0.581,1
map04216,6,-0.30564,0.52424,1,0.30564,0.47576,0.67766,-1.0902,0.87742,1,2,-0.46388,0.7798,1,4,-1.0072,0.7811,1
map04933,6,-1.3778,0.84105,1,1.3778,0.15895,0.48889,-0.73063,0.79893,1,0,NA,NA,NA,6,-0.73063,0.71703,1
map04979,4,-0.83931,0.70944,1,0.83931,0.29056,0.57274,-1.2353,0.91271,1,0,NA,NA,NA,4,-1.2353,0.83194,1
map04971,4,-0.7662,0.68742,1,0.7662,0.31258,0.57711,-1.3898,0.93288,1,0,NA,NA,NA,4,-1.3898,0.86169,1
